File Name	Global RMSD (Å)	Chai Score
extendlen_32_cycle_3_6_sample1.cif	9.6317	0.1688
extendlen_32_cycle_1_3_sample1.cif	9.8998	0.1648
extendlen_26_cycle_5_3_sample2.cif	12.3700	0.1448
extendlen_34_cycle_5_3_sample1.cif	10.9903	0.1588
extendlen_25_cycle_3_4_sample1.cif	10.3600	0.1570
extendlen_31_cycle_1_9_sample1.cif	11.0149	0.1571
extendlen_28_cycle_1_0_sample2.cif	10.6505	0.1697
extendlen_38_cycle_3_4_sample1.cif	10.3895	0.1677
extendlen_31_cycle_4_1_sample2.cif	10.8938	0.1636
extendlen_27_cycle_4_3_sample1.cif	7.5014	0.1724
extendlen_29_cycle_1_4_sample2.cif	10.8473	0.1603
extendlen_28_cycle_3_0_sample2.cif	8.0450	0.1718
extendlen_26_cycle_2_3_sample1.cif	11.9849	0.1607
extendlen_28_cycle_4_2_sample1.cif	9.8210	0.1663
extendlen_34_cycle_5_9_sample2.cif	10.8168	0.1732
extendlen_27_cycle_1_1_sample2.cif	9.5549	0.1639
extendlen_34_cycle_5_5_sample1.cif	10.4055	0.1582
extendlen_36_cycle_1_1_sample2.cif	10.5075	0.1569
extendlen_34_cycle_4_5_sample1.cif	10.0439	0.1647
extendlen_33_cycle_3_6_sample1.cif	10.9862	0.1634
extendlen_28_cycle_1_1_sample1.cif	9.5552	0.1584
extendlen_28_cycle_3_2_sample1.cif	8.3950	0.1647
extendlen_27_cycle_4_0_sample1.cif	9.9978	0.1599
extendlen_26_cycle_5_3_sample1.cif	12.3444	0.1697
extendlen_25_cycle_5_6_sample1.cif	9.6510	0.1667
extendlen_31_cycle_5_8_sample2.cif	13.2485	0.1625
extendlen_25_cycle_3_0_sample2.cif	8.9070	0.1761
extendlen_26_cycle_5_7_sample1.cif	10.7993	0.1615
extendlen_38_cycle_1_4_sample1.cif	10.5617	0.1732
extendlen_31_cycle_4_3_sample1.cif	11.3233	0.1573
extendlen_38_cycle_2_2_sample2.cif	10.9681	0.1514
extendlen_36_cycle_2_8_sample2.cif	9.9712	0.1506
extendlen_29_cycle_1_3_sample2.cif	9.7996	0.1592
extendlen_35_cycle_4_3_sample2.cif	9.3037	0.1669
extendlen_26_cycle_1_5_sample2.cif	11.5166	0.1691
extendlen_35_cycle_5_5_sample1.cif	9.8350	0.1546
extendlen_27_cycle_5_4_sample2.cif	12.1105	0.1634
extendlen_30_cycle_3_7_sample2.cif	10.9926	0.1605
extendlen_30_cycle_2_7_sample1.cif	9.6589	0.1598
extendlen_36_cycle_4_1_sample1.cif	10.7342	0.1512
extendlen_28_cycle_4_3_sample1.cif	13.3515	0.1608
extendlen_30_cycle_3_9_sample2.cif	10.1918	0.1682
extendlen_38_cycle_1_4_sample2.cif	10.2184	0.1663
extendlen_31_cycle_4_3_sample2.cif	9.5562	0.1565
extendlen_33_cycle_2_8_sample1.cif	10.7652	0.1487
extendlen_25_cycle_4_9_sample2.cif	10.9207	0.1472
extendlen_26_cycle_2_8_sample2.cif	10.4181	0.1625
extendlen_33_cycle_2_7_sample2.cif	10.4937	0.1586
extendlen_28_cycle_1_9_sample1.cif	10.3876	0.1561
extendlen_27_cycle_3_8_sample1.cif	12.0197	0.1672
extendlen_26_cycle_1_7_sample1.cif	11.8161	0.1442
extendlen_29_cycle_1_0_sample1.cif	10.4524	0.1631
extendlen_31_cycle_5_8_sample1.cif	9.7629	0.1587
extendlen_26_cycle_5_8_sample1.cif	10.0731	0.1728
extendlen_26_cycle_1_0_sample2.cif	12.4165	0.1434
extendlen_26_cycle_2_2_sample2.cif	9.0408	0.1697
extendlen_32_cycle_5_9_sample2.cif	10.2052	0.1554
extendlen_38_cycle_1_0_sample1.cif	11.1259	0.1581
extendlen_26_cycle_1_4_sample1.cif	8.0496	0.1643
extendlen_26_cycle_2_0_sample1.cif	10.2053	0.1586
extendlen_34_cycle_1_8_sample2.cif	9.3363	0.1648
extendlen_25_cycle_2_8_sample1.cif	10.2280	0.1655
extendlen_35_cycle_4_4_sample1.cif	10.1795	0.1591
extendlen_30_cycle_3_1_sample2.cif	9.8279	0.1663
extendlen_30_cycle_4_6_sample1.cif	8.9203	0.1632
extendlen_31_cycle_4_5_sample2.cif	10.0399	0.1641
extendlen_34_cycle_4_8_sample1.cif	14.5081	0.1543
extendlen_38_cycle_3_1_sample1.cif	10.4032	0.1488
extendlen_39_cycle_4_8_sample1.cif	11.2163	0.1663
extendlen_31_cycle_5_4_sample1.cif	12.0155	0.1601
extendlen_35_cycle_4_8_sample1.cif	11.7699	0.1615
extendlen_26_cycle_3_6_sample1.cif	9.6713	0.1583
extendlen_26_cycle_3_4_sample2.cif	10.6004	0.1739
extendlen_38_cycle_1_0_sample2.cif	10.4024	0.1638
extendlen_26_cycle_2_6_sample2.cif	10.2259	0.1606
extendlen_32_cycle_1_5_sample1.cif	11.5372	0.1591
extendlen_27_cycle_1_1_sample1.cif	10.1537	0.1676
extendlen_38_cycle_3_7_sample1.cif	11.2951	0.1554
extendlen_36_cycle_2_4_sample1.cif	12.1303	0.1529
extendlen_33_cycle_3_2_sample2.cif	10.4162	0.1556
extendlen_39_cycle_3_3_sample1.cif	10.5180	0.1641
extendlen_32_cycle_3_9_sample1.cif	11.0803	0.1567
extendlen_26_cycle_1_0_sample1.cif	11.7785	0.1400
extendlen_30_cycle_3_2_sample2.cif	10.3275	0.1588
extendlen_34_cycle_4_3_sample2.cif	10.4727	0.1580
extendlen_25_cycle_2_8_sample2.cif	10.2099	0.1604
extendlen_27_cycle_4_5_sample1.cif	11.7300	0.1606
extendlen_39_cycle_3_4_sample2.cif	10.3894	0.1566
extendlen_30_cycle_3_5_sample2.cif	9.8475	0.1740
extendlen_36_cycle_2_6_sample1.cif	11.0177	0.1605
extendlen_32_cycle_1_2_sample2.cif	10.7177	0.1585
extendlen_31_cycle_1_3_sample1.cif	11.9817	0.1577
extendlen_25_cycle_5_9_sample1.cif	9.0709	0.1669
extendlen_33_cycle_3_2_sample1.cif	10.5765	0.1533
extendlen_26_cycle_2_7_sample2.cif	10.3145	0.1503
extendlen_39_cycle_4_9_sample2.cif	9.8029	0.1522
extendlen_32_cycle_1_5_sample2.cif	11.2147	0.1613
extendlen_26_cycle_5_1_sample1.cif	11.5872	0.1668
extendlen_26_cycle_1_6_sample1.cif	10.4178	0.1567
extendlen_33_cycle_1_0_sample1.cif	10.5089	0.1594
extendlen_39_cycle_4_4_sample2.cif	10.9513	0.1570
extendlen_38_cycle_2_8_sample1.cif	10.8238	0.1634
extendlen_25_cycle_1_5_sample1.cif	11.0850	0.1690
extendlen_31_cycle_4_5_sample1.cif	9.8387	0.1717
extendlen_25_cycle_5_8_sample2.cif	11.9968	0.1634
extendlen_35_cycle_4_8_sample2.cif	9.8371	0.1520
extendlen_27_cycle_5_2_sample2.cif	9.2529	0.1664
extendlen_37_cycle_1_0_sample2.cif	10.6216	0.1556
extendlen_31_cycle_1_9_sample2.cif	10.9299	0.1558
extendlen_35_cycle_4_4_sample2.cif	9.6697	0.1597
extendlen_26_cycle_2_5_sample1.cif	11.6546	0.1546
extendlen_34_cycle_5_8_sample1.cif	12.0004	0.1627
extendlen_34_cycle_1_8_sample1.cif	8.8529	0.1592
extendlen_25_cycle_1_4_sample1.cif	11.2247	0.1657
extendlen_36_cycle_4_0_sample2.cif	10.1339	0.1724
extendlen_30_cycle_1_0_sample2.cif	10.1039	0.1577
extendlen_28_cycle_3_7_sample1.cif	9.3013	0.1659
extendlen_26_cycle_3_0_sample1.cif	11.6277	0.1647
extendlen_35_cycle_4_1_sample1.cif	10.0578	0.1535
extendlen_28_cycle_3_3_sample2.cif	11.6963	0.1635
extendlen_39_cycle_4_9_sample1.cif	10.2328	0.1502
extendlen_26_cycle_2_0_sample2.cif	10.1928	0.1563
extendlen_25_cycle_2_7_sample2.cif	8.2046	0.1685
extendlen_26_cycle_1_3_sample1.cif	9.0471	0.1643
extendlen_32_cycle_1_1_sample1.cif	10.0694	0.1607
extendlen_25_cycle_5_5_sample1.cif	9.7439	0.1645
extendlen_32_cycle_1_2_sample1.cif	10.9028	0.1647
extendlen_32_cycle_3_6_sample2.cif	9.4764	0.1743
extendlen_38_cycle_5_6_sample1.cif	9.6283	0.1562
extendlen_33_cycle_1_8_sample1.cif	15.4714	0.1554
extendlen_36_cycle_2_6_sample2.cif	11.1954	0.1649
extendlen_26_cycle_3_2_sample1.cif	10.9075	0.1603
extendlen_26_cycle_2_8_sample1.cif	10.4222	0.1602
extendlen_32_cycle_1_7_sample1.cif	10.0583	0.1578
extendlen_32_cycle_5_1_sample2.cif	11.3417	0.1581
extendlen_25_cycle_4_1_sample1.cif	10.1311	0.1611
extendlen_31_cycle_2_9_sample2.cif	10.4092	0.1572
extendlen_31_cycle_2_0_sample1.cif	10.5132	0.1555
extendlen_38_cycle_2_0_sample2.cif	14.7036	0.1495
extendlen_33_cycle_1_3_sample1.cif	11.2320	0.1614
extendlen_31_cycle_5_3_sample2.cif	9.2598	0.1671
extendlen_39_cycle_4_8_sample2.cif	11.4372	0.1571
extendlen_32_cycle_1_3_sample2.cif	10.0224	0.1632
extendlen_36_cycle_3_8_sample2.cif	10.6798	0.1537
extendlen_25_cycle_3_9_sample1.cif	9.5774	0.1671
extendlen_32_cycle_3_2_sample1.cif	13.5883	0.1553
extendlen_33_cycle_4_1_sample2.cif	9.6520	0.1676
extendlen_25_cycle_2_4_sample2.cif	10.6062	0.1663
extendlen_26_cycle_3_2_sample2.cif	10.5426	0.1656
extendlen_27_cycle_1_0_sample1.cif	11.8087	0.1618
extendlen_25_cycle_5_0_sample2.cif	9.4750	0.1784
extendlen_25_cycle_2_4_sample1.cif	10.0358	0.1734
extendlen_30_cycle_4_9_sample1.cif	9.1883	0.1637
extendlen_30_cycle_3_7_sample1.cif	9.2801	0.1698
extendlen_26_cycle_2_6_sample1.cif	10.0831	0.1713
extendlen_30_cycle_2_2_sample1.cif	10.2554	0.1622
extendlen_36_cycle_2_1_sample1.cif	9.4759	0.1669
extendlen_25_cycle_5_8_sample1.cif	11.3817	0.1617
extendlen_32_cycle_5_2_sample2.cif	9.1991	0.1691
extendlen_31_cycle_4_4_sample2.cif	11.4050	0.1573
extendlen_25_cycle_5_7_sample1.cif	9.5578	0.1758
extendlen_27_cycle_5_9_sample2.cif	9.2190	0.1610
extendlen_30_cycle_1_1_sample1.cif	10.1009	0.1559
extendlen_31_cycle_4_7_sample2.cif	11.2766	0.1606
extendlen_25_cycle_5_0_sample1.cif	9.4319	0.1743
extendlen_33_cycle_3_4_sample1.cif	10.3918	0.1674
extendlen_26_cycle_2_2_sample1.cif	8.6491	0.1673
extendlen_27_cycle_5_4_sample1.cif	10.7593	0.1648
extendlen_34_cycle_4_3_sample1.cif	12.0703	0.1592
extendlen_26_cycle_1_8_sample1.cif	10.3680	0.1614
extendlen_28_cycle_1_5_sample2.cif	7.4083	0.1736
extendlen_31_cycle_5_0_sample1.cif	10.9850	0.1701
extendlen_36_cycle_1_5_sample2.cif	15.6166	0.1610
extendlen_30_cycle_3_5_sample1.cif	10.1541	0.1688
extendlen_27_cycle_4_4_sample1.cif	10.3556	0.1614
extendlen_31_cycle_5_3_sample1.cif	10.7463	0.1619
extendlen_27_cycle_3_7_sample1.cif	10.1512	0.1751
extendlen_35_cycle_5_4_sample1.cif	10.1920	0.1542
extendlen_25_cycle_3_6_sample2.cif	9.5615	0.1705
extendlen_33_cycle_4_1_sample1.cif	9.4356	0.1611
extendlen_32_cycle_3_7_sample1.cif	10.7312	0.1596
extendlen_27_cycle_4_5_sample2.cif	12.1188	0.1450
extendlen_37_cycle_1_6_sample1.cif	10.7832	0.1636
extendlen_32_cycle_1_4_sample2.cif	10.0361	0.1722
extendlen_30_cycle_4_7_sample1.cif	10.5495	0.1619
extendlen_39_cycle_4_1_sample2.cif	12.2639	0.1504
extendlen_36_cycle_3_4_sample1.cif	11.2566	0.1627
extendlen_26_cycle_5_4_sample1.cif	11.9342	0.1633
extendlen_32_cycle_1_7_sample2.cif	10.5373	0.1737
extendlen_27_cycle_4_3_sample2.cif	10.0140	0.1771
extendlen_38_cycle_1_1_sample2.cif	9.0556	0.1597
extendlen_26_cycle_2_5_sample2.cif	9.2778	0.1650
extendlen_31_cycle_5_0_sample2.cif	8.8103	0.1647
extendlen_31_cycle_5_1_sample1.cif	8.5668	0.1589
extendlen_31_cycle_1_3_sample2.cif	10.3212	0.1630
extendlen_32_cycle_5_1_sample1.cif	10.8280	0.1609
extendlen_27_cycle_3_8_sample2.cif	12.2232	0.1656
extendlen_38_cycle_2_3_sample1.cif	10.7500	0.1500
extendlen_28_cycle_4_0_sample1.cif	9.2588	0.1649
extendlen_33_cycle_3_5_sample2.cif	10.2516	0.1623
extendlen_27_cycle_4_0_sample2.cif	11.4511	0.1663
extendlen_32_cycle_5_4_sample1.cif	11.6010	0.1536
extendlen_32_cycle_5_2_sample1.cif	9.5321	0.1751
extendlen_32_cycle_5_4_sample2.cif	10.7705	0.1578
extendlen_25_cycle_5_4_sample2.cif	8.6997	0.1743
extendlen_26_cycle_3_4_sample1.cif	10.3731	0.1617
extendlen_33_cycle_2_4_sample1.cif	10.4091	0.1590
extendlen_35_cycle_5_4_sample2.cif	10.3114	0.1551
extendlen_36_cycle_1_1_sample1.cif	10.7085	0.1580
extendlen_33_cycle_2_7_sample1.cif	11.2352	0.1547
extendlen_25_cycle_3_0_sample1.cif	9.4953	0.1693
extendlen_27_cycle_1_0_sample2.cif	8.6641	0.1628
extendlen_36_cycle_2_3_sample1.cif	10.3860	0.1722
extendlen_38_cycle_5_2_sample1.cif	10.3342	0.1527
extendlen_25_cycle_4_9_sample1.cif	11.2864	0.1389
extendlen_28_cycle_1_9_sample2.cif	10.5597	0.1553
extendlen_38_cycle_3_7_sample2.cif	10.7176	0.1586
extendlen_25_cycle_1_7_sample2.cif	9.7146	0.1604
extendlen_30_cycle_4_5_sample1.cif	9.3441	0.1618
extendlen_25_cycle_1_4_sample2.cif	11.7690	0.1660
extendlen_39_cycle_3_5_sample2.cif	10.7086	0.1600
extendlen_28_cycle_4_0_sample2.cif	8.9073	0.1640
extendlen_33_cycle_1_0_sample2.cif	10.4945	0.1596
extendlen_26_cycle_2_3_sample2.cif	10.3744	0.1712
extendlen_34_cycle_5_2_sample2.cif	8.0839	0.1650
extendlen_30_cycle_4_9_sample2.cif	9.4341	0.1601
extendlen_30_cycle_3_1_sample1.cif	10.0787	0.1581
extendlen_31_cycle_1_6_sample2.cif	10.0014	0.1643
extendlen_26_cycle_3_8_sample2.cif	11.4060	0.1651
extendlen_29_cycle_1_0_sample2.cif	11.0910	0.1608
extendlen_34_cycle_5_0_sample2.cif	10.3529	0.1624
extendlen_25_cycle_4_0_sample1.cif	10.9042	0.1604
extendlen_26_cycle_1_7_sample2.cif	10.3246	0.1672
extendlen_33_cycle_3_6_sample2.cif	10.2245	0.1578
extendlen_35_cycle_4_1_sample2.cif	9.8238	0.1473
extendlen_33_cycle_2_2_sample2.cif	11.5357	0.1733
extendlen_30_cycle_2_8_sample2.cif	12.1879	0.1585
extendlen_26_cycle_1_5_sample1.cif	11.4258	0.1707
extendlen_33_cycle_4_9_sample2.cif	9.5932	0.1583
extendlen_30_cycle_1_4_sample2.cif	10.7374	0.1623
extendlen_30_cycle_2_2_sample2.cif	10.9363	0.1598
extendlen_29_cycle_1_1_sample1.cif	10.0690	0.1616
extendlen_29_cycle_1_7_sample1.cif	10.3671	0.1525
extendlen_34_cycle_4_9_sample1.cif	10.8954	0.1586
extendlen_38_cycle_3_9_sample1.cif	10.3692	0.1740
extendlen_30_cycle_4_6_sample2.cif	8.0036	0.1675
extendlen_39_cycle_2_5_sample1.cif	15.6218	0.1482
extendlen_36_cycle_3_4_sample2.cif	12.3413	0.1569
extendlen_31_cycle_2_4_sample1.cif	11.5967	0.1519
extendlen_31_cycle_2_6_sample2.cif	10.4128	0.1570
extendlen_33_cycle_2_5_sample1.cif	11.2037	0.1640
extendlen_34_cycle_5_4_sample1.cif	10.9556	0.1623
extendlen_27_cycle_3_6_sample2.cif	10.0216	0.1664
extendlen_26_cycle_1_9_sample2.cif	9.9091	0.1651
extendlen_32_cycle_1_1_sample2.cif	11.5129	0.1652
extendlen_30_cycle_1_1_sample2.cif	11.0129	0.1576
extendlen_25_cycle_4_5_sample1.cif	10.3829	0.1645
extendlen_34_cycle_5_5_sample2.cif	11.1054	0.1604
extendlen_27_cycle_1_3_sample2.cif	11.1828	0.1453
extendlen_25_cycle_5_5_sample2.cif	8.6742	0.1729
extendlen_30_cycle_2_8_sample1.cif	9.4342	0.1606
extendlen_38_cycle_1_1_sample1.cif	9.4189	0.1522
extendlen_28_cycle_3_3_sample1.cif	12.3137	0.1594
extendlen_27_cycle_4_4_sample2.cif	10.3087	0.1655
extendlen_33_cycle_2_8_sample2.cif	11.6074	0.1534
extendlen_29_cycle_1_3_sample1.cif	9.4595	0.1636
extendlen_31_cycle_4_9_sample1.cif	10.8794	0.1691
extendlen_30_cycle_3_4_sample2.cif	9.8811	0.1567
extendlen_33_cycle_4_0_sample2.cif	10.1156	0.1722
extendlen_27_cycle_1_3_sample1.cif	9.2596	0.1707
extendlen_32_cycle_3_2_sample2.cif	11.5883	0.1514
extendlen_26_cycle_1_9_sample1.cif	9.9481	0.1705
extendlen_35_cycle_4_3_sample1.cif	9.7753	0.1631
extendlen_39_cycle_4_4_sample1.cif	10.4831	0.1595
extendlen_27_cycle_5_9_sample1.cif	9.9295	0.1583
extendlen_32_cycle_3_7_sample2.cif	10.7214	0.1578
extendlen_32_cycle_3_3_sample1.cif	10.6190	0.1550
extendlen_28_cycle_1_5_sample1.cif	7.2655	0.1764
extendlen_25_cycle_1_5_sample2.cif	9.4014	0.1706
extendlen_30_cycle_1_4_sample1.cif	12.1001	0.1605
extendlen_25_cycle_5_7_sample2.cif	10.4904	0.1673
extendlen_31_cycle_2_6_sample1.cif	10.3646	0.1610
extendlen_26_cycle_3_8_sample1.cif	9.8471	0.1614
extendlen_32_cycle_5_0_sample1.cif	10.1695	0.1606
extendlen_31_cycle_2_4_sample2.cif	10.8517	0.1552
extendlen_38_cycle_1_6_sample1.cif	11.1379	0.1653
extendlen_30_cycle_4_5_sample2.cif	10.0018	0.1653
extendlen_26_cycle_3_6_sample2.cif	9.2191	0.1658
extendlen_27_cycle_3_0_sample1.cif	10.2648	0.1713
extendlen_32_cycle_5_0_sample2.cif	10.4087	0.1627
extendlen_33_cycle_2_2_sample1.cif	11.5887	0.1695
extendlen_30_cycle_1_5_sample2.cif	9.6662	0.1632
extendlen_39_cycle_3_3_sample2.cif	10.4428	0.1803
extendlen_26_cycle_5_4_sample2.cif	10.3732	0.1634
extendlen_39_cycle_4_1_sample1.cif	10.7760	0.1503
extendlen_32_cycle_1_6_sample1.cif	11.9005	0.1557
extendlen_31_cycle_5_1_sample2.cif	9.2234	0.1719
extendlen_38_cycle_3_3_sample2.cif	10.1115	0.1526
extendlen_39_cycle_3_4_sample1.cif	11.4200	0.1552
extendlen_38_cycle_3_3_sample1.cif	11.8528	0.1569
extendlen_26_cycle_5_0_sample1.cif	11.9182	0.1597
extendlen_32_cycle_5_9_sample1.cif	10.2236	0.1549
extendlen_25_cycle_2_3_sample1.cif	10.4822	0.1590
extendlen_38_cycle_4_8_sample2.cif	13.0993	0.1562
extendlen_38_cycle_3_1_sample2.cif	10.8266	0.1496
extendlen_27_cycle_5_1_sample1.cif	12.0243	0.1598
extendlen_27_cycle_3_6_sample1.cif	9.7127	0.1651
extendlen_32_cycle_1_6_sample2.cif	12.5085	0.1565
extendlen_25_cycle_3_3_sample2.cif	11.6261	0.1689
extendlen_36_cycle_2_1_sample2.cif	9.6356	0.1613
extendlen_31_cycle_4_4_sample1.cif	12.3741	0.1591
extendlen_25_cycle_5_6_sample2.cif	9.7819	0.1641
extendlen_25_cycle_3_4_sample2.cif	10.8572	0.1617
extendlen_36_cycle_4_0_sample1.cif	9.3741	0.1603
extendlen_38_cycle_2_2_sample1.cif	10.8034	0.1488
extendlen_25_cycle_1_7_sample1.cif	10.4584	0.1618
extendlen_26_cycle_2_9_sample2.cif	10.1880	0.1667
extendlen_27_cycle_3_4_sample2.cif	12.8840	0.1581
extendlen_30_cycle_1_0_sample1.cif	9.0033	0.1668
extendlen_38_cycle_2_0_sample1.cif	12.9122	0.1495
extendlen_28_cycle_4_5_sample1.cif	9.2591	0.1704
extendlen_27_cycle_5_0_sample2.cif	9.6381	0.1659
extendlen_38_cycle_2_3_sample2.cif	9.3354	0.1687
extendlen_26_cycle_1_3_sample2.cif	12.4496	0.1679
extendlen_27_cycle_3_0_sample2.cif	10.2640	0.1652
extendlen_30_cycle_3_9_sample1.cif	10.5489	0.1635
extendlen_38_cycle_1_3_sample2.cif	12.0703	0.1490
extendlen_33_cycle_4_9_sample1.cif	9.4065	0.1588
extendlen_25_cycle_3_3_sample1.cif	9.1668	0.1663
extendlen_30_cycle_3_4_sample1.cif	12.4463	0.1574
extendlen_25_cycle_5_4_sample1.cif	9.3716	0.1647
extendlen_27_cycle_3_5_sample2.cif	10.2738	0.1703
extendlen_28_cycle_3_8_sample1.cif	13.6576	0.1697
extendlen_27_cycle_1_5_sample1.cif	10.5703	0.1679
extendlen_27_cycle_1_9_sample1.cif	10.6494	0.1591
extendlen_27_cycle_5_5_sample2.cif	10.2760	0.1651
extendlen_30_cycle_2_7_sample2.cif	10.4205	0.1560
extendlen_32_cycle_3_3_sample2.cif	10.3214	0.1649
extendlen_39_cycle_2_3_sample1.cif	12.3174	0.1609
extendlen_31_cycle_1_1_sample2.cif	8.6523	0.1692
extendlen_34_cycle_5_0_sample1.cif	9.5234	0.1563
extendlen_26_cycle_1_6_sample2.cif	10.3689	0.1590
extendlen_31_cycle_2_9_sample1.cif	10.2838	0.1720
extendlen_30_cycle_1_5_sample1.cif	10.0172	0.1677
extendlen_38_cycle_3_5_sample2.cif	17.4203	0.1462
extendlen_27_cycle_3_5_sample1.cif	12.0531	0.1651
extendlen_25_cycle_4_7_sample2.cif	8.6749	0.1600
extendlen_33_cycle_1_9_sample2.cif	10.9083	0.1591
extendlen_28_cycle_1_0_sample1.cif	8.8790	0.1621
extendlen_29_cycle_1_4_sample1.cif	12.4431	0.1540
extendlen_30_cycle_2_5_sample1.cif	9.6211	0.1649
extendlen_25_cycle_5_2_sample2.cif	11.2085	0.1575
extendlen_27_cycle_1_9_sample2.cif	9.2593	0.1623
extendlen_30_cycle_3_2_sample1.cif	10.8144	0.1649
extendlen_29_cycle_1_1_sample2.cif	10.3557	0.1592
extendlen_27_cycle_5_7_sample1.cif	9.6999	0.1737
extendlen_30_cycle_4_7_sample2.cif	10.5379	0.1657
extendlen_26_cycle_2_9_sample1.cif	11.5215	0.1640
extendlen_25_cycle_4_5_sample2.cif	10.7081	0.1588
extendlen_35_cycle_5_1_sample1.cif	10.9563	0.1720
extendlen_28_cycle_4_2_sample2.cif	10.6939	0.1744
extendlen_31_cycle_4_8_sample2.cif	10.8557	0.1653
extendlen_25_cycle_2_1_sample1.cif	9.8238	0.1679
extendlen_27_cycle_5_5_sample1.cif	9.8053	0.1645
extendlen_36_cycle_3_8_sample1.cif	9.8889	0.1532
extendlen_31_cycle_4_1_sample1.cif	10.0958	0.1643
extendlen_35_cycle_5_5_sample2.cif	9.9805	0.1570
extendlen_29_cycle_1_7_sample2.cif	11.0307	0.1571
extendlen_31_cycle_4_7_sample1.cif	10.8101	0.1634
extendlen_28_cycle_4_3_sample2.cif	15.0259	0.1552
extendlen_34_cycle_1_7_sample2.cif	11.0404	0.1623
extendlen_31_cycle_4_2_sample2.cif	10.0545	0.1675
extendlen_28_cycle_3_1_sample1.cif	10.1037	0.1614
extendlen_27_cycle_5_7_sample2.cif	10.0821	0.1709
extendlen_38_cycle_1_3_sample1.cif	13.1162	0.1518
extendlen_25_cycle_5_9_sample2.cif	8.1501	0.1607
extendlen_25_cycle_2_9_sample1.cif	10.1989	0.1677
extendlen_38_cycle_1_6_sample2.cif	11.7662	0.1573
extendlen_33_cycle_2_4_sample2.cif	10.2995	0.1607
extendlen_33_cycle_1_8_sample2.cif	12.9013	0.1620
extendlen_28_cycle_1_7_sample1.cif	10.1572	0.1618
extendlen_31_cycle_1_6_sample1.cif	10.0356	0.1587
extendlen_26_cycle_5_7_sample2.cif	10.3186	0.1673
extendlen_28_cycle_1_7_sample2.cif	10.1074	0.1679
extendlen_30_cycle_2_5_sample2.cif	9.4224	0.1653
extendlen_37_cycle_1_6_sample2.cif	11.8732	0.1631
extendlen_33_cycle_1_9_sample1.cif	11.0432	0.1551
extendlen_27_cycle_3_4_sample1.cif	9.5380	0.1717
extendlen_38_cycle_5_9_sample2.cif	10.5515	0.1593
extendlen_34_cycle_4_5_sample2.cif	11.1403	0.1703
extendlen_25_cycle_1_6_sample2.cif	8.3553	0.1623
extendlen_31_cycle_2_0_sample2.cif	10.6723	0.1537
extendlen_25_cycle_5_2_sample1.cif	9.8445	0.1633
extendlen_25_cycle_4_8_sample2.cif	10.6048	0.1675
