PDB_File	Non_MainChain_H-Bonds	Total_H-Bonds	MainChain_H-Bonds	Close_Atoms	Cap_BSA	Body_BSA	bsa
extendlen_28_cycle_3_1_sample2_with_h.pdb	3	24	21	53	3318.71142578125	2859.143798828125	61.899169921875
extendlen_29_cycle_1_4_sample2_with_h.pdb	8	25	17	74	3227.365478515625	2977.1474609375	54.713134765625
extendlen_26_cycle_1_0_sample1_with_h.pdb	7	19	12	187	2488.876708984375	2690.194580078125	217.82080078125
extendlen_28_cycle_3_3_sample1_with_h.pdb	4	22	18	156	3405.613525390625	2961.69970703125	75.918701171875
extendlen_27_cycle_1_1_sample2_with_h.pdb	7	25	18	175	2977.843505859375	2765.7431640625	112.757080078125
extendlen_26_cycle_3_7_sample1_with_h.pdb	6	20	14	173	2981.07421875	2694.448486328125	108.716064453125
extendlen_32_cycle_1_9_sample1_with_h.pdb	9	29	20	176	3870.60693359375	3325.55859375	93.80322265625
extendlen_32_cycle_5_5_sample1_with_h.pdb	4	20	16	178	2970.63671875	3253.419677734375	110.562744140625
extendlen_32_cycle_5_7_sample2_with_h.pdb	7	26	19	145	3272.413818359375	3220.830322265625	102.1923828125
extendlen_32_cycle_5_5_sample1_with_h.pdb	4	20	16	178	2970.63671875	3253.419677734375	110.562744140625
extendlen_27_cycle_5_0_sample1_with_h.pdb	7	23	16	141	2634.68701171875	2768.346435546875	125.669677734375
extendlen_30_cycle_4_4_sample2_with_h.pdb	9	31	22	140	3446.3154296875	3021.83251953125	88.29736328125
extendlen_27_cycle_3_3_sample2_with_h.pdb	10	26	16	98	3338.7939453125	2813.841064453125	76.406982421875
extendlen_33_cycle_3_4_sample1_with_h.pdb	7	23	16	88	3358.890380859375	3341.8974609375	63.725341796875
extendlen_38_cycle_4_0_sample1_with_h.pdb	6	28	22	184	3571.360107421875	3735.98193359375	172.618896484375
extendlen_30_cycle_2_9_sample1_with_h.pdb	9	25	16	123	3516.3330078125	3017.28857421875	95.203125
extendlen_38_cycle_4_0_sample1_with_h.pdb	6	28	22	184	3571.360107421875	3735.98193359375	172.618896484375
extendlen_25_cycle_4_9_sample2_with_h.pdb	6	27	21	46	2238.48095703125	2526.80712890625	67.52734375
extendlen_29_cycle_1_0_sample1_with_h.pdb	6	24	18	178	2797.692626953125	2975.517333984375	62.8251953125
extendlen_26_cycle_3_2_sample2_with_h.pdb	6	17	11	202	2362.13916015625	2597.654296875	189.54638671875
extendlen_28_cycle_1_0_sample2_with_h.pdb	10	26	16	171	3194.82958984375	2979.81884765625	117.84521484375
extendlen_31_cycle_5_6_sample2_with_h.pdb	9	29	20	88	3507.083740234375	3156.708740234375	80.10693359375
extendlen_31_cycle_2_5_sample1_with_h.pdb	9	26	17	173	3362.708984375	3176.603759765625	106.439697265625
extendlen_30_cycle_3_1_sample2_with_h.pdb	4	24	20	123	3044.391845703125	3071.9482421875	132.819580078125
extendlen_25_cycle_4_9_sample2_with_h.pdb	6	27	21	46	2238.48095703125	2526.80712890625	67.52734375
extendlen_27_cycle_3_3_sample1_with_h.pdb	8	24	16	65	2768.545166015625	2762.10302734375	48.116943359375
extendlen_30_cycle_4_4_sample2_with_h.pdb	9	31	22	140	3446.3154296875	3021.83251953125	88.29736328125
extendlen_30_cycle_2_9_sample1_with_h.pdb	9	25	16	123	3516.3330078125	3017.28857421875	95.203125
extendlen_35_cycle_5_4_sample1_with_h.pdb	8	32	24	181	3909.272216796875	3523.805908203125	133.59375
extendlen_28_cycle_1_0_sample1_with_h.pdb	5	19	14	90	3162.151611328125	2973.505859375	58.119384765625
extendlen_31_cycle_2_5_sample2_with_h.pdb	11	27	16	159	3529.846435546875	3177.232421875	89.611083984375
extendlen_27_cycle_4_7_sample1_with_h.pdb	7	27	20	183	2868.953125	2836.51025390625	115.92529296875
extendlen_32_cycle_5_6_sample2_with_h.pdb	7	23	16	203	3487.322509765625	3258.744873046875	231.86962890625
extendlen_27_cycle_4_7_sample2_with_h.pdb	15	33	18	131	2810.14306640625	2766.076904296875	105.888427734375
extendlen_27_cycle_4_6_sample1_with_h.pdb	10	27	17	195	2938.403076171875	2792.759765625	110.460205078125
extendlen_26_cycle_1_0_sample1_with_h.pdb	7	19	12	187	2488.876708984375	2690.194580078125	217.82080078125
extendlen_30_cycle_2_1_sample1_with_h.pdb	8	29	21	190	3597.077880859375	3071.140625	85.537353515625
extendlen_27_cycle_4_5_sample1_with_h.pdb	5	23	18	173	3033.7919921875	2767.354248046875	70.119873046875
extendlen_26_cycle_2_1_sample1_with_h.pdb	7	25	18	159	2593.1220703125	2681.892578125	116.31787109375
extendlen_36_cycle_2_6_sample1_with_h.pdb	11	35	24	199	4188.6806640625	3542.077392578125	102.162353515625
extendlen_25_cycle_5_9_sample1_with_h.pdb	9	18	9	240	2604.512451171875	2535.74072265625	197.904541015625
extendlen_37_cycle_1_2_sample1_with_h.pdb	6	26	20	145	4113.69873046875	3652.3857421875	143.23828125
extendlen_27_cycle_1_5_sample2_with_h.pdb	8	26	18	225	3188.224609375	2790.347900390625	121.022216796875
extendlen_25_cycle_5_9_sample1_with_h.pdb	9	18	9	240	2604.512451171875	2535.74072265625	197.904541015625
extendlen_27_cycle_4_2_sample1_with_h.pdb	9	26	17	110	2539.416748046875	2826.83935546875	87.404052734375
extendlen_32_cycle_1_9_sample1_with_h.pdb	9	29	20	176	3870.60693359375	3325.55859375	93.80322265625
extendlen_28_cycle_3_3_sample2_with_h.pdb	6	26	20	77	2762.958984375	2879.065185546875	80.324951171875
extendlen_35_cycle_5_9_sample1_with_h.pdb	8	22	14	241	3396.37353515625	3501.3671875	168.88623046875
extendlen_26_cycle_2_1_sample1_with_h.pdb	7	25	18	159	2593.1220703125	2681.892578125	116.31787109375
extendlen_32_cycle_5_6_sample1_with_h.pdb	10	22	12	180	3254.0146484375	3170.989013671875	153.937744140625
extendlen_32_cycle_5_4_sample2_with_h.pdb	9	24	15	217	3074.334716796875	3281.031494140625	190.62060546875
extendlen_29_cycle_1_4_sample1_with_h.pdb	4	21	17	95	3591.040771484375	3012.944091796875	46.919921875
extendlen_25_cycle_5_5_sample1_with_h.pdb	5	22	17	120	2504.23876953125	2578.508056640625	121.295654296875
extendlen_28_cycle_4_5_sample2_with_h.pdb	10	25	15	181	3066.651123046875	2796.573974609375	168.4375
extendlen_25_cycle_5_9_sample2_with_h.pdb	4	15	11	225	2549.010986328125	2621.33349609375	192.185302734375
extendlen_26_cycle_3_2_sample1_with_h.pdb	8	18	10	191	2407.40966796875	2610.578125	216.2353515625
extendlen_38_cycle_4_5_sample1_with_h.pdb	8	34	26	163	4487.2705078125	3798.8046875	126.658203125
extendlen_33_cycle_4_8_sample2_with_h.pdb	4	28	24	169	3879.2138671875	3330.294921875	100.4013671875
extendlen_32_cycle_5_7_sample1_with_h.pdb	8	29	21	136	3396.16748046875	3196.657958984375	69.355224609375
extendlen_32_cycle_5_5_sample2_with_h.pdb	4	23	19	220	3042.378173828125	3279.2216796875	187.419189453125
extendlen_26_cycle_3_2_sample2_with_h.pdb	6	17	11	202	2362.13916015625	2597.654296875	189.54638671875
extendlen_25_cycle_5_0_sample2_with_h.pdb	9	27	18	175	2746.117919921875	2574.991455078125	104.4775390625
extendlen_33_cycle_4_8_sample2_with_h.pdb	4	28	24	169	3879.2138671875	3330.294921875	100.4013671875
extendlen_29_cycle_1_1_sample1_with_h.pdb	10	26	16	177	3172.06201171875	3010.62451171875	143.35400390625
extendlen_38_cycle_3_8_sample2_with_h.pdb	8	33	25	179	4048.550048828125	3817.556396484375	166.84228515625
extendlen_29_cycle_1_0_sample2_with_h.pdb	8	27	19	246	3207.906005859375	3005.318115234375	138.623046875
extendlen_28_cycle_3_3_sample2_with_h.pdb	6	26	20	77	2762.958984375	2879.065185546875	80.324951171875
extendlen_30_cycle_4_4_sample1_with_h.pdb	5	25	20	106	3417.04150390625	3022.453125	86.0400390625
extendlen_30_cycle_2_1_sample2_with_h.pdb	6	24	18	216	3677.61669921875	3026.935546875	95.052734375
extendlen_25_cycle_5_7_sample1_with_h.pdb	7	20	13	178	2462.85546875	2592.14697265625	91.02978515625
extendlen_30_cycle_2_1_sample1_with_h.pdb	8	29	21	190	3597.077880859375	3071.140625	85.537353515625
extendlen_27_cycle_5_9_sample2_with_h.pdb	6	21	15	61	2955.951416015625	2701.8037109375	52.112060546875
extendlen_25_cycle_5_0_sample1_with_h.pdb	5	23	18	205	2816.05615234375	2564.474609375	106.25927734375
extendlen_33_cycle_3_4_sample1_with_h.pdb	7	23	16	88	3358.890380859375	3341.8974609375	63.725341796875
extendlen_26_cycle_2_2_sample1_with_h.pdb	6	22	16	234	2657.252197265625	2685.843017578125	154.1298828125
extendlen_38_cycle_4_6_sample1_with_h.pdb	10	38	28	256	4472.4013671875	3864.689697265625	121.379150390625
extendlen_25_cycle_4_9_sample1_with_h.pdb	6	27	21	55	2516.559814453125	2568.367431640625	79.88427734375
extendlen_36_cycle_3_4_sample2_with_h.pdb	9	35	26	244	4420.63671875	3654.624267578125	126.749267578125
extendlen_29_cycle_1_4_sample2_with_h.pdb	8	25	17	74	3227.365478515625	2977.1474609375	54.713134765625
extendlen_27_cycle_4_6_sample2_with_h.pdb	9	28	19	182	3146.0166015625	2842.66455078125	84.2919921875
extendlen_38_cycle_3_8_sample1_with_h.pdb	14	36	22	172	3803.25244140625	3822.193603515625	130.402099609375
extendlen_29_cycle_1_1_sample2_with_h.pdb	6	24	18	186	3047.27392578125	2963.56591796875	213.02880859375
extendlen_35_cycle_5_4_sample1_with_h.pdb	8	32	24	181	3909.272216796875	3523.805908203125	133.59375
extendlen_32_cycle_5_6_sample2_with_h.pdb	7	23	16	203	3487.322509765625	3258.744873046875	231.86962890625
extendlen_29_cycle_1_0_sample1_with_h.pdb	6	24	18	178	2797.692626953125	2975.517333984375	62.8251953125
extendlen_27_cycle_4_5_sample2_with_h.pdb	8	27	19	187	3194.229248046875	2881.040283203125	97.5302734375
extendlen_27_cycle_5_9_sample2_with_h.pdb	6	21	15	61	2955.951416015625	2701.8037109375	52.112060546875
extendlen_25_cycle_5_0_sample1_with_h.pdb	5	23	18	205	2816.05615234375	2564.474609375	106.25927734375
extendlen_25_cycle_5_7_sample1_with_h.pdb	7	20	13	178	2462.85546875	2592.14697265625	91.02978515625
extendlen_32_cycle_5_4_sample2_with_h.pdb	9	24	15	217	3074.334716796875	3281.031494140625	190.62060546875
extendlen_31_cycle_2_5_sample1_with_h.pdb	9	26	17	173	3362.708984375	3176.603759765625	106.439697265625
extendlen_31_cycle_5_6_sample1_with_h.pdb	6	27	21	51	3039.0009765625	3088.23876953125	58.92431640625
extendlen_30_cycle_2_9_sample2_with_h.pdb	5	26	21	165	3801.196533203125	3006.603271484375	58.3876953125
extendlen_36_cycle_2_4_sample2_with_h.pdb	5	25	20	296	3800.042236328125	3685.42919921875	197.706298828125
extendlen_26_cycle_2_2_sample1_with_h.pdb	6	22	16	234	2657.252197265625	2685.843017578125	154.1298828125
extendlen_25_cycle_4_9_sample1_with_h.pdb	6	27	21	55	2516.559814453125	2568.367431640625	79.88427734375
extendlen_28_cycle_1_9_sample2_with_h.pdb	9	26	17	175	3118.75341796875	2922.363037109375	100.791748046875
extendlen_30_cycle_4_5_sample1_with_h.pdb	10	30	20	201	3551.04833984375	3052.614501953125	133.687744140625
extendlen_31_cycle_2_5_sample2_with_h.pdb	11	27	16	159	3529.846435546875	3177.232421875	89.611083984375
extendlen_38_cycle_4_5_sample1_with_h.pdb	8	34	26	163	4487.2705078125	3798.8046875	126.658203125
extendlen_27_cycle_1_1_sample2_with_h.pdb	7	25	18	175	2977.843505859375	2765.7431640625	112.757080078125
extendlen_30_cycle_3_1_sample1_with_h.pdb	5	23	18	161	3732.957763671875	3112.510986328125	91.1142578125
extendlen_32_cycle_5_6_sample1_with_h.pdb	10	22	12	180	3254.0146484375	3170.989013671875	153.937744140625
extendlen_29_cycle_1_0_sample2_with_h.pdb	8	27	19	246	3207.906005859375	3005.318115234375	138.623046875
extendlen_27_cycle_4_7_sample2_with_h.pdb	15	33	18	131	2810.14306640625	2766.076904296875	105.888427734375
extendlen_38_cycle_4_6_sample2_with_h.pdb	10	36	26	218	3692.468017578125	3839.2578125	143.183837890625
extendlen_30_cycle_2_9_sample2_with_h.pdb	5	26	21	165	3801.196533203125	3006.603271484375	58.3876953125
extendlen_29_cycle_1_1_sample1_with_h.pdb	10	26	16	177	3172.06201171875	3010.62451171875	143.35400390625
extendlen_38_cycle_4_6_sample2_with_h.pdb	10	36	26	218	3692.468017578125	3839.2578125	143.183837890625
extendlen_36_cycle_3_4_sample2_with_h.pdb	9	35	26	244	4420.63671875	3654.624267578125	126.749267578125
extendlen_28_cycle_1_9_sample2_with_h.pdb	9	26	17	175	3118.75341796875	2922.363037109375	100.791748046875
extendlen_27_cycle_1_3_sample2_with_h.pdb	7	19	12	231	2655.012451171875	2848.73486328125	206.143310546875
extendlen_28_cycle_3_3_sample1_with_h.pdb	4	22	18	156	3405.613525390625	2961.69970703125	75.918701171875
extendlen_27_cycle_4_6_sample2_with_h.pdb	9	28	19	182	3146.0166015625	2842.66455078125	84.2919921875
extendlen_26_cycle_3_7_sample2_with_h.pdb	6	17	11	196	2842.74755859375	2745.7197265625	82.53125
extendlen_32_cycle_1_8_sample1_with_h.pdb	7	33	26	115	3381.34765625	3205.303955078125	82.318115234375
extendlen_27_cycle_1_3_sample1_with_h.pdb	7	16	9	177	2493.980712890625	2768.58984375	181.229736328125
extendlen_27_cycle_4_6_sample1_with_h.pdb	10	27	17	195	2938.403076171875	2792.759765625	110.460205078125
extendlen_31_cycle_5_6_sample2_with_h.pdb	9	29	20	88	3507.083740234375	3156.708740234375	80.10693359375
extendlen_26_cycle_3_2_sample1_with_h.pdb	8	18	10	191	2407.40966796875	2610.578125	216.2353515625
extendlen_26_cycle_3_6_sample2_with_h.pdb	4	16	12	119	3358.32568359375	2773.3564453125	59.36962890625
extendlen_26_cycle_5_4_sample2_with_h.pdb	7	26	19	205	2730.99755859375	2779.263671875	141.76318359375
extendlen_26_cycle_5_4_sample2_with_h.pdb	7	26	19	205	2730.99755859375	2779.263671875	141.76318359375
extendlen_30_cycle_3_1_sample2_with_h.pdb	4	24	20	123	3044.391845703125	3071.9482421875	132.819580078125
extendlen_26_cycle_3_7_sample2_with_h.pdb	6	17	11	196	2842.74755859375	2745.7197265625	82.53125
extendlen_27_cycle_3_3_sample2_with_h.pdb	10	26	16	98	3338.7939453125	2813.841064453125	76.406982421875
extendlen_25_cycle_5_6_sample2_with_h.pdb	7	17	10	213	2579.81201171875	2505.348876953125	212.838134765625
extendlen_27_cycle_1_3_sample1_with_h.pdb	7	16	9	177	2493.980712890625	2768.58984375	181.229736328125
extendlen_27_cycle_5_0_sample2_with_h.pdb	6	22	16	138	2520.402099609375	2782.14990234375	93.907958984375
extendlen_30_cycle_3_1_sample1_with_h.pdb	5	23	18	161	3732.957763671875	3112.510986328125	91.1142578125
extendlen_26_cycle_3_0_sample2_with_h.pdb	7	21	14	212	2970.328369140625	2704.908203125	161.407958984375
extendlen_27_cycle_1_5_sample1_with_h.pdb	9	26	17	147	3132.42724609375	2845.5693359375	113.76171875
extendlen_27_cycle_1_3_sample2_with_h.pdb	7	19	12	231	2655.012451171875	2848.73486328125	206.143310546875
extendlen_27_cycle_3_3_sample1_with_h.pdb	8	24	16	65	2768.545166015625	2762.10302734375	48.116943359375
extendlen_25_cycle_5_0_sample2_with_h.pdb	9	27	18	175	2746.117919921875	2574.991455078125	104.4775390625
extendlen_38_cycle_3_8_sample2_with_h.pdb	8	33	25	179	4048.550048828125	3817.556396484375	166.84228515625
extendlen_26_cycle_1_6_sample2_with_h.pdb	8	25	17	127	3003.05224609375	2593.72216796875	78.00634765625
extendlen_27_cycle_4_2_sample1_with_h.pdb	9	26	17	110	2539.416748046875	2826.83935546875	87.404052734375
extendlen_28_cycle_1_0_sample1_with_h.pdb	5	19	14	90	3162.151611328125	2973.505859375	58.119384765625
extendlen_35_cycle_5_9_sample1_with_h.pdb	8	22	14	241	3396.37353515625	3501.3671875	168.88623046875
extendlen_29_cycle_1_4_sample1_with_h.pdb	4	21	17	95	3591.040771484375	3012.944091796875	46.919921875
extendlen_32_cycle_1_8_sample1_with_h.pdb	7	33	26	115	3381.34765625	3205.303955078125	82.318115234375
extendlen_29_cycle_1_1_sample2_with_h.pdb	6	24	18	186	3047.27392578125	2963.56591796875	213.02880859375
extendlen_38_cycle_3_8_sample1_with_h.pdb	14	36	22	172	3803.25244140625	3822.193603515625	130.402099609375
extendlen_27_cycle_5_0_sample2_with_h.pdb	6	22	16	138	2520.402099609375	2782.14990234375	93.907958984375
extendlen_25_cycle_5_9_sample2_with_h.pdb	4	15	11	225	2549.010986328125	2621.33349609375	192.185302734375
extendlen_33_cycle_4_8_sample1_with_h.pdb	7	30	23	170	3291.807373046875	3294.01025390625	124.889404296875
extendlen_38_cycle_4_6_sample1_with_h.pdb	10	38	28	256	4472.4013671875	3864.689697265625	121.379150390625
extendlen_30_cycle_4_5_sample1_with_h.pdb	10	30	20	201	3551.04833984375	3052.614501953125	133.687744140625
extendlen_30_cycle_4_4_sample1_with_h.pdb	5	25	20	106	3417.04150390625	3022.453125	86.0400390625
extendlen_32_cycle_5_7_sample1_with_h.pdb	8	29	21	136	3396.16748046875	3196.657958984375	69.355224609375
extendlen_27_cycle_1_5_sample2_with_h.pdb	8	26	18	225	3188.224609375	2790.347900390625	121.022216796875
extendlen_36_cycle_2_4_sample2_with_h.pdb	5	25	20	296	3800.042236328125	3685.42919921875	197.706298828125
extendlen_27_cycle_1_5_sample1_with_h.pdb	9	26	17	147	3132.42724609375	2845.5693359375	113.76171875
extendlen_25_cycle_5_6_sample2_with_h.pdb	7	17	10	213	2579.81201171875	2505.348876953125	212.838134765625
extendlen_27_cycle_4_2_sample2_with_h.pdb	8	25	17	163	2411.19775390625	2890.61572265625	75.0263671875
extendlen_27_cycle_5_0_sample1_with_h.pdb	7	23	16	141	2634.68701171875	2768.346435546875	125.669677734375
extendlen_25_cycle_5_5_sample1_with_h.pdb	5	22	17	120	2504.23876953125	2578.508056640625	121.295654296875
extendlen_27_cycle_4_2_sample2_with_h.pdb	8	25	17	163	2411.19775390625	2890.61572265625	75.0263671875
extendlen_27_cycle_4_5_sample2_with_h.pdb	8	27	19	187	3194.229248046875	2881.040283203125	97.5302734375
extendlen_32_cycle_5_7_sample2_with_h.pdb	7	26	19	145	3272.413818359375	3220.830322265625	102.1923828125
extendlen_28_cycle_3_1_sample2_with_h.pdb	3	24	21	53	3318.71142578125	2859.143798828125	61.899169921875
